,correlazione
sensor16,-0.07135245151616064
sensor11,-0.04694950356315582
sensor14,-0.042324754099690665
sensor4,-0.04097823672132771
sensor15,-0.03845478490300327
sensor17,-0.02703126271562283
sensor3,-0.026941574556052027
sensor9,-0.015306174517024122
sensor2,-0.004928466605596079
sensor5,-0.00075754900863028
sensor6,-0.0004963994603953968
sensor1,-2.32601338754689e-05
sensor12,0.002248948591276367
sensor7,0.0024300654940627962
sensor10,0.004306319992380566
sensor8,0.004344545328787444
sensor18,0.004780383564307775
sensor13,0.005244682776776802
sensor19,0.005761088593421189
sensor21,0.006164600023265497
sensor20,0.006286905232215346
