,correlazione
sensor14,-0.07812615219035073
sensor11,-0.0566392400577737
sensor16,-0.053804336930271035
sensor4,-0.04588110859302568
sensor17,-0.032939303551029676
sensor3,-0.03292405654292328
sensor9,-0.02472715028406107
sensor10,-0.008924050245450826
sensor2,-0.004443240063718993
sensor15,-0.003957072898584357
sensor12,-0.001639322160023571
sensor7,-0.001428815379505843
sensor6,0.0013491846674066473
sensor13,0.0015008070508893336
sensor5,0.0016786570034204933
sensor1,0.0018894117842805657
sensor8,0.002086059038859893
sensor19,0.002303388225443806
sensor18,0.0027646377576236777
sensor21,0.0027907932394577693
sensor20,0.0028117009588077063
